El siguiente archivo cuenta cuantas veces se repite cada letra en el texto ingresado

       Caracter                           Frecuencia
         e                                 12.80126787 %
         a                                 11.8758958659 %
         o                                 9.15646619104 %
         s                                 7.21701455562 %
         n                                 6.80679586969 %
         r                                 6.47208684693 %
         l                                 5.44837919265 %
         i                                 5.29627806596 %
         d                                 5.17998453026 %
         u                                 4.4319196006 %
         t                                 3.72561216376 %
         c                                 2.7746014918 %
         p                                 2.29417396431 %
         m                                 1.92690275156 %
         y                                 1.64076656372 %
         q                                 1.55844155844 %
         b                                 1.30086489937 %
         g                                 1.17115703955 %
         √                                 1.0354992779 %
         v                                 0.879503670008 %
         h                                 0.854946802469 %
         f                                 0.496438172407 %
         z                                 0.450678018358 %
         ß                                 0.38674361873 %
         j                                 0.321619238737 %
         E                                 0.299009611796 %
         A                                 0.278455405486 %
         ±                                 0.263742920969 %
         C                                 0.241349654094 %
         O                                 0.18022793533 %
         S                                 0.179687035164 %
         D                                 0.164758190581 %
         P                                 0.153074746994 %
         M                                 0.140958583274 %
         ≥                                 0.136739561979 %
         L                                 0.135549581614 %
         R                                 0.133818701082 %
         I                                 0.12970785982 %
         T                                 0.129599679787 %
         [                                 0.12700335899 %
         ]                                 0.12700335899 %
         °                                 0.124623398259 %
         N                                 0.119755296765 %
         G                                 0.108720933377 %
         V                                 0.0871931067683 %
         x                                 0.080377764676 %
         F                                 0.0769160036132 %
         1                                 0.0751851230818 %
         B                                 0.0731297024508 %
         U                                 0.0713988219194 %
         5                                 0.0668552605246 %
         4                                 0.0602562784987 %
         J                                 0.0591744781666 %
         2                                 0.0590662981334 %
         3                                 0.0584172179341 %
         H                                 0.0582008578677 %
         ≠                                 0.0521427760078 %
         ©                                 0.0463010542144 %
         Y                                 0.041973852886 %
         0                                 0.0415411327531 %
         7                                 0.0335358102955 %
         6                                 0.0325621899966 %
         8                                 0.0320212898305 %
         9                                 0.0298576891663 %
         w                                 0.0283431687014 %
         -                                 0.0237996073065 %
         ¬                                 0.0225014469079 %
         Q                                 0.0182824256127 %
         k                                 0.0139552242843 %
         ª                                 0.0124407038193 %
         X                                 0.0114670835204 %
         Z                                 0.00995256305544 %
         ∫                                 0.00897894275654 %
         ´                                 0.00822168252406 %
         á                                 0.00757260232479 %
         *                                 0.00465174142808 %
         ë                                 0.00281268086349 %
         â                                 0.00237996073065 %
         "                                 0.00237996073065 %
         ç                                 0.00216360066423 %
         W                                 0.00162270049817 %
         ø                                 0.00162270049817 %
         K                                 0.00086544026569 %
         º                                 0.000649080199268 %
         ì                                 0.000432720132845 %
         Å                                 0.000216360066423 %
         @                                 0.000216360066423 %
         $                                 0.000216360066423 %
         ™                                 0.000108180033211 %
         †                                 0.000108180033211 %
         %                                 0.000108180033211 %

Este libro tiene un k de valor
-1.02147960586
