El siguiente archivo cuenta cuantas veces se repite cada letra en el texto ingresado

       Caracter                           Frecuencia
         g                                 15.8536585366 %
         r                                 13.4146341463 %
         e                                 12.1951219512 %
         d                                 7.31707317073 %
         f                                 6.09756097561 %
         i                                 6.09756097561 %
         w                                 4.87804878049 %
         o                                 4.87804878049 %
         h                                 3.65853658537 %
         s                                 3.65853658537 %
         k                                 3.65853658537 %
         m                                 3.65853658537 %
         j                                 2.43902439024 %
         3                                 2.43902439024 %
         t                                 1.21951219512 %
         a                                 1.21951219512 %
         p                                 1.21951219512 %
         n                                 1.21951219512 %
         u                                 1.21951219512 %
         y                                 1.21951219512 %
         4                                 1.21951219512 %
         v                                 1.21951219512 %

Este libro tiene un k de valor
-0.513750282339
