El siguiente archivo cuenta cuantas veces se repite cada letra en el texto ingresado

       Caracter                           Frecuencia
         e                                 10.3448887942 %
         a                                 8.8467614534 %
         o                                 8.48820490974 %
         i                                 8.45270426185 %
         n                                 6.78594884357 %
         t                                 6.67057173793 %
         r                                 6.40964197597 %
         l                                 5.00204128725 %
         s                                 4.63460958162 %
         c                                 4.19085148304 %
         u                                 3.51101407601 %
         d                                 3.42226245629 %
                                          2.48682038447 %
         p                                 2.24719101124 %
         m                                 2.14778919715 %
         h                                 2.02531196194 %
         g                                 1.64190496477 %
         f                                 1.41470081829 %
         v                                 1.0366189183 %
         &                                 0.938992136606 %
         Ã                                 0.889291229565 %
         b                                 0.827165095763 %
         q                                 0.741963540835 %
         y                                 0.532509718302 %
         w                                 0.465058487317 %
                                           0.465058487317 %
         T                                 0.379856932389 %
         S                                 0.291105312672 %
         E                                 0.2822301507 %
         I                                 0.280455118306 %
         C                                 0.276905053517 %
         L                                 0.244954470419 %
         P                                 0.239629373236 %
         G                                 0.232529243659 %
         k                                 0.227204146476 %
         A                                 0.227204146476 %
         ¨                                 0.225429114081 %
         j                                 0.17572820704 %
         O                                 0.170403109857 %
         R                                 0.165078012674 %
         z                                 0.157977883096 %
         N                                 0.150877753519 %
         F                                 0.142002591547 %
         D                                 0.138452526759 %
         -                                 0.136677494364 %
         1                                 0.126027299998 %
         ¹                                 0.113602073238 %
         B                                 0.0958517492944 %
         M                                 0.0852015549284 %
         U                                 0.078101425351 %
         ²                                 0.072776328168 %
         V                                 0.0656761985906 %
         *                                 0.0603511014076 %
         H                                 0.0603511014076 %
         Y                                 0.0497009070416 %
         x                                 0.0461508422529 %
         0                                 0.0390507126755 %
         "                                 0.0390507126755 %
         8                                 0.0301755507038 %
         9                                 0.0284005183095 %
         5                                 0.0284005183095 %
         6                                 0.0266254859151 %
         2                                 0.0248504535208 %
         7                                 0.0248504535208 %
         W                                 0.0248504535208 %
         3                                 0.0230754211264 %
         Q                                 0.0213003887321 %
         4                                 0.0195253563378 %
         ¬                                 0.0124252267604 %
         K                                 0.010650194366 %
         X                                 0.00887516197171 %
         J                                 0.00710012957736 %
         @                                 0.00355006478868 %
         $                                 0.00355006478868 %
         [                                 0.00177503239434 %
         ]                                 0.00177503239434 %
         %                                 0.00177503239434 %

Este libro tiene un k de valor
-0.895854928923
