El siguiente archivo cuenta cuantas veces se repite cada letra en el texto ingresado

       Caracter                           Frecuencia
         a                                 11.9075834383 %
         i                                 10.4322457369 %
         t                                 8.59741653155 %
         n                                 8.31471781364 %
         s                                 6.94197141669 %
         e                                 6.91303849886 %
         l                                 5.4448134731 %
         k                                 4.73390757138 %
         o                                 4.53197991573 %
         u                                 4.46434922032 %
         Ã                                 4.15717807608 %
         ¤                                 3.87978372644 %
         r                                 2.41493420775 %
         m                                 2.38334910579 %
         v                                 2.20830495295 %
                                          1.93404500274 %
         h                                 1.90041048577 %
         j                                 1.78853653685 %
         p                                 1.57672346761 %
         y                                 1.29824413355 %
         d                                 0.728988975353 %
         g                                 0.292463577676 %
         ¶                                 0.269678904889 %
         K                                 0.233874419081 %
         S                                 0.195899964437 %
         A                                 0.177093567851 %
         M                                 0.135984713775 %
         H                                 0.129474807265 %
         T                                 0.127063730779 %
         b                                 0.12453210047 %
         -                                 0.122723793106 %
         "                                 0.121036039566 %
         R                                 0.114887794528 %
         P                                 0.107775118896 %
         f                                 0.104520165641 %
         E                                 0.104158504168 %
         c                                 0.100180227967 %
         I                                 0.0861959843521 %
         V                                 0.0855932152308 %
         0                                 0.0854726614065 %
         N                                 0.0761900169378 %
         L                                 0.0550930976908 %
         J                                 0.0524409135569 %
         1                                 0.0521998059083 %
         G                                 0.0476187605861 %
         B                                 0.0440021458581 %
         O                                 0.0419527308455 %
         w                                 0.0349606090379 %
         F                                 0.0307412251885 %
         C                                 0.0283301487031 %
         2                                 0.0244724263265 %
         D                                 0.0243518725023 %
         3                                 0.0223024574897 %
         5                                 0.0215791345441 %
         4                                 0.0195297195315 %
         6                                 0.0177214121675 %
         U                                 0.0167569815733 %
         Y                                 0.016154212452 %
         9                                 0.0153103356821 %
         8                                 0.0141047974394 %
         7                                 0.0132609206696 %
         x                                 0.0116937209541 %
         z                                 0.0106087365356 %
         X                                 0.00590713738917 %
         W                                 0.0057865835649 %
         *                                 0.00397827620087 %
         Z                                 0.00397827620087 %
         [                                 0.0038577223766 %
         ]                                 0.0038577223766 %
         „                                 0.00265218413391 %
         ¼                                 0.00265218413391 %
         q                                 0.00144664589122 %
         ¥                                 0.000602769121343 %
         –                                 0.000361661472806 %
         ©                                 0.000361661472806 %
         ¨                                 0.000361661472806 %
         ¢                                 0.000241107648537 %
         Q                                 0.000241107648537 %
         ¯                                 0.000241107648537 %
         @                                 0.000241107648537 %
         $                                 0.000241107648537 %
         |                                 0.000120553824269 %
         §                                 0.000120553824269 %
         …                                 0.000120553824269 %
         %                                 0.000120553824269 %

Este libro tiene un k de valor
-0.929307198563
