El siguiente archivo cuenta cuantas veces se repite cada letra en el texto ingresado

       Caracter                           Frecuencia
         e                                 11.1571263437 %
         i                                 10.1650177032 %
         a                                 9.53926110661 %
         o                                 8.10844020498 %
         n                                 6.72767983107 %
         r                                 5.84752473445 %
         t                                 5.77698489992 %
         l                                 5.679139323 %
         s                                 4.73709121028 %
         c                                 3.95978774336 %
         d                                 3.6530532371 %
         u                                 2.90351060828 %
         p                                 2.43521712616 %
                                          2.34283269772 %
         m                                 2.19993264584 %
         v                                 1.74529203491 %
         g                                 1.63015282114 %
         h                                 1.09086440879 %
         f                                 1.03579782828 %
         b                                 0.92156880592 %
         z                                 0.810980549209 %
         √                                 0.721781790711 %
         ‚                                 0.594810088562 %
         Ä                                 0.569779824697 %
         q                                 0.427789964229 %
         ô                                 0.406855561725 %
         I                                 0.261224935604 %
         L                                 0.222086704834 %
         †                                 0.205703259395 %
         ®                                 0.185223952597 %
         A                                 0.170660889985 %
         E                                 0.165199741506 %
         S                                 0.164744645799 %
         *                                 0.154277444547 %
         y                                 0.153367253133 %
         P                                 0.152001966013 %
         ¬                                 0.151546870307 %
         î                                 0.148816296067 %
         π                                 0.142900051881 %
         C                                 0.133343042042 %
         1                                 0.128792084975 %
         w                                 0.128336989269 %
         G                                 0.11877997943 %
         N                                 0.11195354383 %
         T                                 0.110133161004 %
         M                                 0.108767873884 %
         ≤                                 0.0983006726315 %
         O                                 0.0964802898049 %
         V                                 0.0923844284453 %
         R                                 0.0919293327387 %
         F                                 0.0882885670857 %
         0                                 0.0855579928459 %
         -                                 0.0832825143128 %
         D                                 0.0750907915935 %
         ª                                 0.0719051216471 %
         B                                 0.0691745474073 %
         k                                 0.0673541645808 %
         ´                                 0.064623590341 %
         2                                 0.0514258148489 %
         ¨                                 0.0505156234356 %
         U                                 0.0445993792495 %
         5                                 0.0432340921296 %
         Q                                 0.0427789964229 %
         j                                 0.0395933264766 %
         3                                 0.0336770822904 %
         6                                 0.0291261252241 %
         8                                 0.0277608381043 %
         9                                 0.026850646691 %
         ¢                                 0.026850646691 %
         Ñ                                 0.0259404552777 %
         4                                 0.0250302638645 %
         7                                 0.0236649767446 %
         à                                 0.019569115385 %
         H                                 0.0182038282651 %
         x                                 0.0168385411452 %
         >                                 0.0168385411452 %
         X                                 0.0150181583187 %
         [                                 0.0145630626121 %
         ]                                 0.0145630626121 %
         Y                                 0.0122875840789 %
         W                                 0.0109222969591 %
         "                                 0.0109222969591 %
         ∫                                 0.0104672012524 %
         ©                                 0.00819172271929 %
         K                                 0.00682643559941 %
         ¥                                 0.00682643559941 %
         Z                                 0.00591624418615 %
         J                                 0.00546114847953 %
         ú                                 0.00546114847953 %
         ù                                 0.0050060527729 %
         ™                                 0.00318566994639 %
         °                                 0.00182038282651 %
         ì                                 0.00182038282651 %
         ß                                 0.000910191413254 %
         %                                 0.000910191413254 %
         â                                 0.000910191413254 %
         @                                 0.000910191413254 %
         $                                 0.000910191413254 %
         Ô                                 0.000455095706627 %
         ø                                 0.000455095706627 %
         Ø                                 0.000455095706627 %
         ≠                                 0.000455095706627 %
         û                                 0.000455095706627 %
         &                                 0.000455095706627 %
         ò                                 0.000455095706627 %
